Match,Innings,Date,M/Inns,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
242,235,19/03/2023,1st,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,c S P D Smith b M A Starc,13,15,86.67,,9795,48.73,89.89
243,236,22/03/2023,2nd,Australia,MA Chidambaram Stadium,c M A Starc b S A Abbott,30,17,176.47,,9825,48.64,90.02
244,237,27/07/2023,2nd,West Indies,Kensington Oval,not out,12*,19,63.16,,9837,48.7,89.98
245,238,02/09/2023,1st,Pakistan,Pallekele International Cricket Stadium,b Shaheen Shah Afridi,11,22,50,,9848,48.51,89.9
246,239,04/09/2023,2nd,Nepal,Pallekele International Cricket Stadium,not out,74*,59,125.42,,9922,48.88,90.09
247,240,10/09/2023,1st,Pakistan,R Premadasa Stadium,c Faheem Ashraf b Shadab Khan,56,49,114.29,,9978,48.91,90.19
248,241,12/09/2023,1st,Sri Lanka,R Premadasa Stadium,b D N Wellalage,53,48,110.42,,10031,48.93,90.28
249,242,15/09/2023,2nd,Bangladesh,R Premadasa Stadium,c Anamul Haque b Tanzim Hasan Sakib,0,2,0,,10031,48.69,90.26
250,,17/09/2023,2nd,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,,10031,48.69,90.26
251,243,27/09/2023,2nd,Australia,Saurashtra Cricket Association Stadium,c & b G J Maxwell,81,57,142.11,,10112,48.85,90.53
252,244,08/10/2023,2nd,Australia,MA Chidambaram Stadium,lbw b J R Hazlewood,0,6,0,,10112,48.62,90.48
253,245,11/10/2023,2nd,Afghanistan,Arun Jaitley Stadium,b Rashid Khan,131,84,155.95,,10243,49.01,90.97
254,246,14/10/2023,2nd,Pakistan,Narendra Modi Stadium,c Iftikhar Ahmed b Shaheen Shah Afridi,86,63,136.51,,10329,49.19,91.22
255,247,19/10/2023,2nd,Bangladesh,Maharashtra Cricket Association Stadium,c Towhid Hridoy b Hasan Mahmud,48,40,120,,10377,49.18,91.32
256,248,22/10/2023,2nd,New Zealand,Himachal Pradesh Cricket Association Stadium,b L H Ferguson,46,40,115,,10423,49.17,91.41
257,249,29/10/2023,1st,England,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,c L S Livingstone b A U Rashid,87,101,86.14,,10510,49.34,91.36
258,250,02/11/2023,1st,Sri Lanka,Wankhede Stadium,b L D Madushanka,4,2,200,,10514,49.13,91.38
259,251,05/11/2023,1st,South Africa,Eden Gardens,c T Bavuma b K Rabada,40,24,166.67,,10554,49.09,91.54
260,252,12/11/2023,1st,Netherlands,M Chinnaswamy Stadium,c W Barresi b B F W de Leede,61,54,112.96,,10615,49.14,91.64
